(;id;obejetivo;tipo_id;)
(;1;Carta Consulta;1;)
(;2;Comunicado;1;)
(;3;Convite;1;)
(;4;Denuncia;1;)
(;5;Devolução;1;)
(;6;Documento;1;)
(;7;Encaminhamento;1;)
(;8;Informação;1;)
(;9;Informativo;1;)
(;10;Juntada De Documento;1;)
(;11;Memorando;1;)
(;12;Ofício;1;)
(;13;Ofício Circular;1;)
(;14;Recurso Auto De Infração;1;)
(;15;Recurso Penalidade Imposta;1;)
(;16;Requerimento;1;)
(;17;Reunião;1;)
(;18;Solicitação;1;)
(;19;Autorização De Supressão Vegetal - ASV;2;)
(;20;Evento Temporário;2;)
(;21;Licença Ambiental Rural - LAR;2;)
(;22;Licença de Instalação - LI;2;)
(;23;Licença de Instalação E Licença De Operação - LIO;2;)
(;24;Licença de Operação - LO;2;)
(;25;Licença de Prévia E Licença De Instalação - LP/LI;2;)
(;26;Licença Prévia - LP;2;)
(;27;Processo Administrativo Punitivo - PAP;2;)
(;28;Renovação De Licença De Operação - RLO;2;)
